Ensembl Gene ID	Ensembl Transcript ID	Chromosome Name	Gene Start (bp)	Associated Gene Name	Transcript Start (bp)	Transcript End (bp)	Gene End (bp)
ENSGACG00000009541	ENSGACT00000012624	groupXVII	9706190	sfmbt1	9706190	9716455	9716455
ENSGACG00000009541	ENSGACT00000012631	groupXVII	9706190	sfmbt1	9707011	9715285	9716455
ENSGACG00000009542	ENSGACT00000012612	groupX	14670193	TATDN1	14670193	14673293	14673293
ENSGACG00000009543	ENSGACT00000012609	groupVI	11234372	ppp2r2d	11234372	11238003	11238003
ENSGACG00000009544	ENSGACT00000012610	groupXIX	10784649	mgat4c (1 of 2)	10784649	10787031	10787031
ENSGACG00000009545	ENSGACT00000012645	groupVIII	12179477	LPHN2 (1 of 2)	12179477	12229465	12229465
ENSGACG00000009545	ENSGACT00000012657	groupVIII	12179477	LPHN2 (1 of 2)	12196748	12223511	12229465
ENSGACG00000009545	ENSGACT00000012662	groupVIII	12179477	LPHN2 (1 of 2)	12212938	12223415	12229465
ENSGACG00000009546	ENSGACT00000012607	groupXVIII	9250587		9250587	9252088	9252088
ENSGACG00000009547	ENSGACT00000012615	groupXVIII	9255225	SOBP (1 of 3)	9255225	9260598	9260598
ENSGACG00000009548	ENSGACT00000012634	groupVI	11250455	ebf3	11250455	11313628	11315254
ENSGACG00000009548	ENSGACT00000012647	groupVI	11250455	ebf3	11250526	11315254	11315254
ENSGACG00000009549	ENSGACT00000012617	groupXIX	10799792	nts	10799792	10803574	10803574
ENSGACG00000009550	ENSGACT00000012621	groupXIII	9367336	tbx5b	9367336	9375940	9375940
ENSGACG00000009551	ENSGACT00000012629	groupX	14673761	rnf139	14673761	14679040	14679040
ENSGACG00000009551	ENSGACT00000012638	groupX	14673761	rnf139	14673943	14679031	14679040
ENSGACG00000009551	ENSGACT00000012644	groupX	14673761	rnf139	14673951	14677336	14679040
ENSGACG00000009552	ENSGACT00000012619	groupXVIII	9260723	SOBP (2 of 3)	9260723	9262663	9262663
ENSGACG00000009553	ENSGACT00000012622	groupXIX	10806741	rassf9	10806741	10813865	10813865
ENSGACG00000009554	ENSGACT00000012632	groupV	11372152	crym	11372152	11374064	11374064
ENSGACG00000009554	ENSGACT00000012639	groupV	11372152	crym	11372156	11374064	11374064
ENSGACG00000009555	ENSGACT00000012652	groupXVIII	9268505	rock2b	9268505	9288381	9288381
ENSGACG00000009556	ENSGACT00000012628	groupXIII	9383624	PLEKHA2	9383624	9385645	9385645
ENSGACG00000009557	ENSGACT00000012630	groupXIX	10842308	alx1	10842308	10846159	10846159
ENSGACG00000009558	ENSGACT00000012642	groupXI	6851020	asic2	6851020	6922054	6922054
ENSGACG00000009559	ENSGACT00000012637	groupXV	7482606		7482606	7486604	7486604
ENSGACG00000009560	ENSGACT00000012635	groupXX	11327480	si:ch73-22o12.1	11327480	11338816	11338816
ENSGACG00000009561	ENSGACT00000012640	groupXIII	9394501	TACC1 (2 of 2)	9394501	9404317	9404317
ENSGACG00000009562	ENSGACT00000012643	groupXIX	10888182	slc6a15	10888182	10899894	10899894
ENSGACG00000009563	ENSGACT00000012651	groupXVII	9718740	tmem110	9718740	9725460	9725460
ENSGACG00000009564	ENSGACT00000012669	groupXX	11377986	abhd16a	11377986	11384733	11384802
ENSGACG00000009564	ENSGACT00000012679	groupXX	11377986	abhd16a	11378012	11384802	11384802
ENSGACG00000009565	ENSGACT00000012641	groupXII	11762597	zgc:174906	11762597	11764868	11764868
ENSGACG00000009566	ENSGACT00000012653	groupI	9339476	rhoub	9339476	9344007	9344007
ENSGACG00000009566	ENSGACT00000012663	groupI	9339476	rhoub	9339673	9343851	9344007
ENSGACG00000009567	ENSGACT00000012648	groupXV	7505622	E2F2	7505622	7513354	7513354
ENSGACG00000009568	ENSGACT00000012654	groupV	11374771	nhp2l1b	11374771	11375978	11375978
ENSGACG00000009569	ENSGACT00000012646	groupXII	11864095	si:ch211-254n4.3	11864095	11913150	11913150
ENSGACG00000009570	ENSGACT00000012649	groupXI	7060487	C17orf53	7060487	7062821	7062821
ENSGACG00000009571	ENSGACT00000012650	groupXIII	9412393	ddhd2	9412393	9415041	9415041
ENSGACG00000009572	ENSGACT00000012683	groupXIX	10902109	lrrk2	10902109	10923381	10923381
ENSGACG00000009573	ENSGACT00000012667	groupX	14681072	tmem65	14681072	14685142	14685142
ENSGACG00000009574	ENSGACT00000012695	groupXII	11923040	rhoae	11923040	11934170	11934170
ENSGACG00000009575	ENSGACT00000012665	groupXV	7517684	id3	7517684	7519656	7519656
ENSGACG00000009576	ENSGACT00000012661	groupXI	7065895	asb16	7065895	7068997	7068997
ENSGACG00000009577	ENSGACT00000012655	groupVI	11325609	mgmt	11325609	11341955	11341955
ENSGACG00000009578	ENSGACT00000012658	groupXIII	9422860	si:ch211-166a6.5 (1 of 2)	9422860	9427224	9427224
ENSGACG00000009579	ENSGACT00000012656	groupXVII	9728415	MUSTN1	9728415	9729706	9729706
ENSGACG00000009580	ENSGACT00000012659	groupXVIII	9292142	LRG1	9292142	9294935	9294935
ENSGACG00000009581	ENSGACT00000012727	groupV	11376040	uqcrc2b	11376040	11380930	11380955
ENSGACG00000009581	ENSGACT00000012731	groupV	11376040	uqcrc2b	11376642	11380910	11380955
ENSGACG00000009581	ENSGACT00000012766	groupV	11376040	uqcrc2b	11376670	11380955	11380955
ENSGACG00000009581	ENSGACT00000012781	groupV	11376040	uqcrc2b	11377008	11380906	11380955
ENSGACG00000009582	ENSGACT00000012668	groupVI	11406462	gnrh3	11406462	11408869	11408869
ENSGACG00000009582	ENSGACT00000012674	groupVI	11406462	gnrh3	11408078	11408869	11408869
ENSGACG00000009583	ENSGACT00000012666	groupXVII	9731457		9731457	9734766	9734766
ENSGACG00000009584	ENSGACT00000012660	groupXVIII	9303643	kcnf1a	9303643	9305118	9305118
ENSGACG00000009585	ENSGACT00000012672	groupXIII	9427620	si:ch211-166a6.5 (2 of 2)	9427620	9432882	9432882
ENSGACG00000009586	ENSGACT00000012681	groupXVIII	9306376	pdip5	9306376	9312512	9312540
ENSGACG00000009586	ENSGACT00000012689	groupXVIII	9306376	pdip5	9306758	9312510	9312540
ENSGACG00000009586	ENSGACT00000012704	groupXVIII	9306376	pdip5	9306852	9312540	9312540
ENSGACG00000009588	ENSGACT00000012686	groupVIII	12379136	ttll7	12379136	12431134	12431134
ENSGACG00000009589	ENSGACT00000012670	groupI	9346068	rtn2a	9346068	9352714	9352714
ENSGACG00000009590	ENSGACT00000012675	groupXI	7076050	atxn7l3	7076050	7081591	7081591
ENSGACG00000009591	ENSGACT00000012678	groupXV	7540072	im:7149628	7540072	7564188	7564188
ENSGACG00000009591	ENSGACT00000012685	groupXV	7540072	im:7149628	7540078	7560728	7564188
ENSGACG00000009592	ENSGACT00000012671	groupXVII	9737214		9737214	9738973	9738973
ENSGACG00000009592	ENSGACT00000012673	groupXVII	9737214		9737214	9738972	9738973
ENSGACG00000009593	ENSGACT00000012680	groupX	14688813	MTSS1 (2 of 2)	14688813	14709542	14709542
ENSGACG00000009594	ENSGACT00000012676	groupI	9359890	ppm1na	9359890	9363261	9363928
ENSGACG00000009594	ENSGACT00000012682	groupI	9359890	ppm1na	9360016	9363928	9363928
ENSGACG00000009595	ENSGACT00000012677	groupXIII	9433596	srrd	9433596	9434944	9434944
ENSGACG00000009596	ENSGACT00000012690	groupXVII	9741040		9741040	9747491	9747491
ENSGACG00000009597	ENSGACT00000012692	groupVI	11411092	ptpreb	11411092	11419044	11419044
ENSGACG00000009598	ENSGACT00000012702	groupXI	7085084	ubtf	7085084	7091545	7091545
ENSGACG00000009598	ENSGACT00000012710	groupXI	7085084	ubtf	7085084	7089804	7091545
ENSGACG00000009599	ENSGACT00000012698	groupXIII	9435840	tfip11	9435840	9440684	9440684
ENSGACG00000009600	ENSGACT00000012684	groupI	9378350	PTGIR	9378350	9392221	9392221
ENSGACG00000009600	ENSGACT00000012687	groupI	9378350	PTGIR	9391158	9392194	9392221
ENSGACG00000009601	ENSGACT00000012703	groupXX	11384921	vars	11384921	11393263	11393263
ENSGACG00000009602	ENSGACT00000012688	groupX	14713278		14713278	14716620	14716620
ENSGACG00000009603	ENSGACT00000012694	groupXV	7582493	yth2	7582493	7587686	7587686
ENSGACG00000009603	ENSGACT00000012696	groupXV	7582493	yth2	7583949	7587686	7587686
ENSGACG00000009603	ENSGACT00000012701	groupXV	7582493	yth2	7583964	7587484	7587686
ENSGACG00000009604	ENSGACT00000012693	groupI	9400751	calm1b	9400751	9406312	9406312
ENSGACG00000009605	ENSGACT00000012706	groupXIX	10924289	SLC2A13 (1 of 2)	10924289	10930612	10930612
ENSGACG00000009605	ENSGACT00000012715	groupXIX	10924289	SLC2A13 (1 of 2)	10924292	10929550	10930612
ENSGACG00000009606	ENSGACT00000012691	groupX	14713398		14713398	14722200	14722200
ENSGACG00000009607	ENSGACT00000012717	groupVIII	12439681		12439681	12447106	12447106
ENSGACG00000009608	ENSGACT00000012700	groupXVII	9798545	gata2a	9798545	9805555	9805970
ENSGACG00000009608	ENSGACT00000012712	groupXVII	9798545	gata2a	9798563	9805970	9805970
ENSGACG00000009609	ENSGACT00000012733	groupX	14724687	SCGN (2 of 2)	14724687	14728964	14728964
ENSGACG00000009609	ENSGACT00000012738	groupX	14724687	SCGN (2 of 2)	14724732	14728961	14728964
ENSGACG00000009610	ENSGACT00000012699	groupI	9423834	si:ch211-195m9.3	9423834	9429829	9435566
ENSGACG00000009610	ENSGACT00000012707	groupI	9423834	si:ch211-195m9.3	9428955	9435566	9435566
ENSGACG00000009611	ENSGACT00000012697	groupVI	11477058	fam196ab	11477058	11488339	11488339
ENSGACG00000009612	ENSGACT00000012719	groupXII	11935603	mov10b.2	11935603	11944845	11944845
ENSGACG00000009612	ENSGACT00000012726	groupXII	11935603	mov10b.2	11936160	11944842	11944845
ENSGACG00000009613	ENSGACT00000012705	groupVI	11515227	C10orf90	11515227	11519396	11519396
ENSGACG00000009614	ENSGACT00000012722	groupXIII	9441085	thoc5	9441085	9447343	9447343
ENSGACG00000009615	ENSGACT00000012709	groupXV	7594721	vgll2b	7594721	7598689	7598689
ENSGACG00000009616	ENSGACT00000012728	groupXVIII	9312464	zgc:63695	9312464	9322093	9322093
ENSGACG00000009617	ENSGACT00000012720	groupVI	11548683	ADAM12 (2 of 2)	11548683	11579684	11579684
ENSGACG00000009618	ENSGACT00000012708	groupXX	11394269		11394269	11396423	11397880
ENSGACG00000009618	ENSGACT00000012713	groupXX	11394269		11395967	11397880	11397880
ENSGACG00000009619	ENSGACT00000012711	groupI	9465817	GEMIN7	9465817	9466215	9466215
ENSGACG00000009620	ENSGACT00000012735	groupXV	7603276	ctsl.1	7603276	7607314	7607758
ENSGACG00000009620	ENSGACT00000012739	groupXV	7603276	ctsl.1	7604544	7607322	7607758
ENSGACG00000009620	ENSGACT00000012750	groupXV	7603276	ctsl.1	7604836	7607758	7607758
ENSGACG00000009621	ENSGACT00000012714	groupI	9489065		9489065	9491339	9491339
ENSGACG00000009622	ENSGACT00000012741	groupXI	7093673	slc4a1a	7093673	7100906	7100906
ENSGACG00000009622	ENSGACT00000012744	groupXI	7093673	slc4a1a	7093681	7100807	7100906
ENSGACG00000009622	ENSGACT00000012753	groupXI	7093673	slc4a1a	7094435	7098935	7100906
ENSGACG00000009623	ENSGACT00000012747	groupXVII	9819139	rpn1	9819139	9823424	9823424
ENSGACG00000009624	ENSGACT00000012716	groupXX	11399057	ino80e	11399057	11401884	11401884
ENSGACG00000009625	ENSGACT00000012718	groupI	9505875	phc2b	9505875	9506291	9506291
ENSGACG00000009626	ENSGACT00000012736	groupXIX	10941821	kif21a	10941821	10958527	10958527
ENSGACG00000009627	ENSGACT00000012721	groupXX	11403589	TRIM41	11403589	11405982	11405982
ENSGACG00000009628	ENSGACT00000012723	groupVIII	12451527	samd13	12451527	12452038	12452038
ENSGACG00000009629	ENSGACT00000012732	groupI	9508614	ppp1r37	9508614	9534420	9534420
ENSGACG00000009630	ENSGACT00000012725	groupXX	11410075	si:dkeyp-77h1.4	11410075	11415240	11415240
ENSGACG00000009631	ENSGACT00000012751	groupVI	11586701	C10orf137	11586701	11594095	11594095
ENSGACG00000009632	ENSGACT00000012724	groupXIII	9449679	si:dkey-27m7.4	9449679	9452436	9452436
ENSGACG00000009633	ENSGACT00000012772	groupVIII	12452845	uox	12452845	12462381	12462417
ENSGACG00000009633	ENSGACT00000012775	groupVIII	12452845	uox	12452872	12462417	12462417
ENSGACG00000009634	ENSGACT00000012729	groupXIII	9454946	fancg	9454946	9457185	9457185
ENSGACG00000009635	ENSGACT00000012769	groupXX	11432261	tubb5	11432261	11436500	11436500
ENSGACG00000009636	ENSGACT00000012742	groupXII	11965705	wnt2bb	11965705	11974404	11974404
ENSGACG00000009637	ENSGACT00000012743	groupXVIII	9330965	apobb	9330965	9346541	9346541
ENSGACG00000009637	ENSGACT00000012749	groupXVIII	9330965	apobb	9342410	9346037	9346541
ENSGACG00000009638	ENSGACT00000012730	groupXIII	9457745		9457745	9458755	9460483
ENSGACG00000009638	ENSGACT00000012734	groupXIII	9457745		9458247	9460483	9460483
ENSGACG00000009639	ENSGACT00000012737	groupI	9540078		9540078	9542455	9542455
ENSGACG00000009640	ENSGACT00000012794	groupXIII	9460867	vcp	9460867	9469522	9469522
ENSGACG00000009641	ENSGACT00000012748	groupI	9544230	mrpl28	9544230	9546832	9546832
ENSGACG00000009641	ENSGACT00000012752	groupI	9544230	mrpl28	9544235	9546357	9546832
ENSGACG00000009641	ENSGACT00000012758	groupI	9544230	mrpl28	9544981	9546592	9546832
ENSGACG00000009642	ENSGACT00000012745	groupXIX	10965471	CPNE8 (1 of 2)	10965471	11001426	11001426
ENSGACG00000009643	ENSGACT00000012740	groupX	14732203		14732203	14733294	14733294
ENSGACG00000009644	ENSGACT00000012755	groupX	14733929	si:ch1073-210b3.2	14733929	14742988	14742988
ENSGACG00000009645	ENSGACT00000012746	groupXII	11989059	FKBPL	11989059	11991574	11991574
ENSGACG00000009646	ENSGACT00000012756	groupXII	11993025	ebp	11993025	11993992	11993992
ENSGACG00000009647	ENSGACT00000012773	groupXVII	9824926	rab7	9824926	9828599	9828599
ENSGACG00000009648	ENSGACT00000012799	groupXIX	11013095	cpa2	11013095	11017993	11017993
ENSGACG00000009649	ENSGACT00000012754	groupXVIII	9353312	APOB (2 of 4)	9353312	9356474	9363047
ENSGACG00000009649	ENSGACT00000012767	groupXVIII	9353312	APOB (2 of 4)	9356346	9363047	9363047
ENSGACG00000009650	ENSGACT00000012780	groupXV	7669664	qkia	7669664	7725769	7725769
ENSGACG00000009651	ENSGACT00000012759	groupVI	11630700	ctbp2	11630700	11654239	11654239
ENSGACG00000009652	ENSGACT00000012757	groupXI	7129095	NGFR (2 of 2)	7129095	7143521	7143521
ENSGACG00000009653	ENSGACT00000012761	groupX	14747980	PEG3 (1 of 2)	14747980	14771097	14771097
ENSGACG00000009654	ENSGACT00000012762	groupXII	11995753	CCDC115	11995753	11997545	11997545
ENSGACG00000009655	ENSGACT00000012760	groupXI	7217832	NXPH3 (2 of 2)	7217832	7218605	7218605
ENSGACG00000009656	ENSGACT00000012771	groupI	9552408	relb	9552408	9558069	9558069
ENSGACG00000009657	ENSGACT00000012763	groupXI	7274231		7274231	7276057	7276057
ENSGACG00000009658	ENSGACT00000012768	groupVI	11660215	zranb1b	11660215	11671041	11671041
ENSGACG00000009659	ENSGACT00000012764	groupX	14790078	si:ch1073-210b3.1 (2 of 2)	14790078	14791810	14791810
ENSGACG00000009660	ENSGACT00000012765	groupXII	11998621		11998621	11999952	11999952
ENSGACG00000009661	ENSGACT00000012791	groupXI	7346387	NDUFA4 (2 of 2)	7346387	7349024	7349024
ENSGACG00000009662	ENSGACT00000012796	groupX	14795391		14795391	14808405	14808405
ENSGACG00000009662	ENSGACT00000012798	groupX	14795391		14795391	14808405	14808405
ENSGACG00000009663	ENSGACT00000012776	groupXII	12004007	APOBEC2 (1 of 2)	12004007	12005702	12005702
ENSGACG00000009663	ENSGACT00000012779	groupXII	12004007	APOBEC2 (1 of 2)	12004058	12005702	12005702
ENSGACG00000009664	ENSGACT00000012770	groupXVIII	9364879	APOB (3 of 4)	9364879	9366348	9366348
ENSGACG00000009665	ENSGACT00000012778	groupVI	11676162	fam175b	11676162	11678128	11682055
ENSGACG00000009665	ENSGACT00000012784	groupVI	11676162	fam175b	11676444	11682055	11682055
ENSGACG00000009666	ENSGACT00000012856	groupXX	11436663	flot1b	11436663	11443266	11443266
ENSGACG00000009666	ENSGACT00000012889	groupXX	11436663	flot1b	11438346	11442971	11443266
ENSGACG00000009666	ENSGACT00000012892	groupXX	11436663	flot1b	11438354	11442469	11443266
ENSGACG00000009667	ENSGACT00000012774	groupXVIII	9369644	RHOB	9369644	9370234	9370234
ENSGACG00000009668	ENSGACT00000012803	groupI	9560771	clptm1	9560771	9569667	9569667
ENSGACG00000009669	ENSGACT00000012777	groupXVII	9830017	HMCES	9830017	9832358	9832358
ENSGACG00000009671	ENSGACT00000012782	groupVIII	12463843	DNASE2B	12463843	12466855	12466855
ENSGACG00000009672	ENSGACT00000012789	groupXVII	9833573	ttll3	9833573	9836215	9836215
ENSGACG00000009673	ENSGACT00000012783	groupXII	12006616		12006616	12008496	12011566
ENSGACG00000009673	ENSGACT00000012790	groupXII	12006616		12008372	12011566	12011566
ENSGACG00000009674	ENSGACT00000012785	groupXV	7895097	PTAFR	7895097	7896633	7896633
ENSGACG00000009675	ENSGACT00000012788	groupV	11381211		11381211	11384297	11384297
ENSGACG00000009676	ENSGACT00000012793	groupVIII	12468629		12468629	12470421	12470421
ENSGACG00000009677	ENSGACT00000012795	groupVI	11682141	mettl10	11682141	11685941	11686107
ENSGACG00000009677	ENSGACT00000012807	groupVI	11682141	mettl10	11682177	11686107	11686107
ENSGACG00000009678	ENSGACT00000012787	groupXV	7921527	LUZP1	7921527	7922252	7922252
ENSGACG00000009679	ENSGACT00000012806	groupXV	7938586	kdm1a	7938586	7946768	7949974
ENSGACG00000009679	ENSGACT00000012812	groupXV	7938586	kdm1a	7938602	7948388	7949974
ENSGACG00000009679	ENSGACT00000012820	groupXV	7938586	kdm1a	7938606	7948547	7949974
ENSGACG00000009679	ENSGACT00000012824	groupXV	7938586	kdm1a	7939256	7949974	7949974
ENSGACG00000009680	ENSGACT00000012792	groupV	11384466	TMEM235 (1 of 2)	11384466	11388562	11388562
ENSGACG00000009681	ENSGACT00000012831	groupXVIII	9387727	laptm4a	9387727	9394208	9394208
ENSGACG00000009682	ENSGACT00000012805	groupXVII	9837350	uqcrc1	9837350	9843351	9843385
ENSGACG00000009682	ENSGACT00000012808	groupXVII	9837350	uqcrc1	9837412	9843385	9843385
ENSGACG00000009683	ENSGACT00000012797	groupXII	12017722	mybpha	12017722	12030109	12030109
ENSGACG00000009683	ENSGACT00000012801	groupXII	12017722	mybpha	12020413	12030076	12030109
ENSGACG00000009684	ENSGACT00000012834	groupXI	7350298	slc35b1	7350298	7355292	7355292
ENSGACG00000009685	ENSGACT00000012800	groupV	11389072	birc5a	11389072	11390915	11390915
ENSGACG00000009686	ENSGACT00000012802	groupVIII	12471986	rpf1	12471986	12475464	12475464
ENSGACG00000009687	ENSGACT00000012849	groupXIII	9469514	akr1a1a	9469514	9471776	9471795
ENSGACG00000009687	ENSGACT00000012855	groupXIII	9469514	akr1a1a	9469621	9471795	9471795
ENSGACG00000009688	ENSGACT00000012814	groupX	14812602	ENPP2 (2 of 2)	14812602	14836398	14836398
ENSGACG00000009689	ENSGACT00000012816	groupXIX	11018505	SMC1B	11018505	11031128	11031128
ENSGACG00000009690	ENSGACT00000012804	groupV	11393346	C17orf70	11393346	11394793	11394793
ENSGACG00000009691	ENSGACT00000012819	groupXII	12032727	NAV1 (2 of 2)	12032727	12082072	12082072
ENSGACG00000009693	ENSGACT00000012827	groupI	9571378	tbcb	9571378	9575322	9575322
ENSGACG00000009693	ENSGACT00000012839	groupI	9571378	tbcb	9571456	9575293	9575322
ENSGACG00000009694	ENSGACT00000012815	groupV	11395658	fscn2b	11395658	11403738	11403738
ENSGACG00000009695	ENSGACT00000012810	groupVI	11688288	FAM53B (2 of 2)	11688288	11705963	11705963
ENSGACG00000009696	ENSGACT00000012811	groupXVII	9849698	CIDEC	9849698	9852173	9852173
ENSGACG00000009697	ENSGACT00000012822	groupVIII	12482039	CTBS	12482039	12487237	12487949
ENSGACG00000009697	ENSGACT00000012828	groupVIII	12482039	CTBS	12482356	12487949	12487949
ENSGACG00000009698	ENSGACT00000012813	groupVI	11730008	nkx1.2la	11730008	11731959	11731959
ENSGACG00000009699	ENSGACT00000012817	groupXVII	9861263	GPR22 (2 of 4)	9861263	9863030	9863030
ENSGACG00000009700	ENSGACT00000012823	groupVI	11743774	CHST15 (2 of 2)	11743774	11747855	11747855
ENSGACG00000009701	ENSGACT00000012818	groupV	11428251		11428251	11510946	11510946
ENSGACG00000009702	ENSGACT00000012840	groupX	14851285	COL14A1 (2 of 2)	14851285	14896889	14896889
ENSGACG00000009703	ENSGACT00000012821	groupXVII	9881413	ip6k2	9881413	9885655	9885655
ENSGACG00000009704	ENSGACT00000012825	groupV	11498357	slc38a10	11498357	11508484	11508484
ENSGACG00000009705	ENSGACT00000012826	groupXIX	11031753	loh12cr1	11031753	11033718	11033718
ENSGACG00000009705	ENSGACT00000012830	groupXIX	11031753	loh12cr1	11031753	11033718	11033718
ENSGACG00000009706	ENSGACT00000012846	groupXII	12100734	csrp1a	12100734	12102834	12102834
ENSGACG00000009707	ENSGACT00000012922	groupXVII	9892261	sec61al2	9892261	9896218	9896218
ENSGACG00000009708	ENSGACT00000012829	groupVI	11758633	GPR26 (2 of 2)	11758633	11761119	11761119
ENSGACG00000009709	ENSGACT00000012871	groupXV	7950325	TMEM30B	7950325	7954163	7955376
ENSGACG00000009709	ENSGACT00000012877	groupXV	7950325	TMEM30B	7950596	7954162	7955376
ENSGACG00000009709	ENSGACT00000012891	groupXV	7950325	TMEM30B	7950797	7955376	7955376
ENSGACG00000009710	ENSGACT00000012832	groupV	11512346	enthd2	11512346	11514776	11514776
ENSGACG00000009711	ENSGACT00000012842	groupVIII	12491787		12491787	12511098	12515319
ENSGACG00000009711	ENSGACT00000012852	groupVIII	12491787		12491787	12510874	12515319
ENSGACG00000009711	ENSGACT00000012866	groupVIII	12491787		12492261	12514025	12515319
ENSGACG00000009711	ENSGACT00000012872	groupVIII	12491787		12492261	12509530	12515319
ENSGACG00000009711	ENSGACT00000012880	groupVIII	12491787		12493882	12515319	12515319
ENSGACG00000009711	ENSGACT00000012897	groupVIII	12491787		12494593	12498860	12515319
ENSGACG00000009711	ENSGACT00000012902	groupVIII	12491787		12496610	12515319	12515319
ENSGACG00000009711	ENSGACT00000012904	groupVIII	12491787		12497388	12515319	12515319
ENSGACG00000009711	ENSGACT00000012911	groupVIII	12491787		12511409	12514025	12515319
ENSGACG00000009712	ENSGACT00000012833	groupVI	11841887	hmx2	11841887	11843338	11843338
ENSGACG00000009713	ENSGACT00000012836	groupXVIII	9394362	matn3a	9394362	9399164	9399164
ENSGACG00000009714	ENSGACT00000012835	groupXIX	11060840	mgat4c (2 of 2)	11060840	11062963	11062963
ENSGACG00000009715	ENSGACT00000012837	groupV	11520659	slc16a6a (2 of 2)	11520659	11524884	11524884
ENSGACG00000009715	ENSGACT00000012844	groupV	11520659	slc16a6a (2 of 2)	11520695	11524138	11524884
ENSGACG00000009716	ENSGACT00000012838	groupVI	11851894	hmx3	11851894	11854186	11854186
ENSGACG00000009717	ENSGACT00000012847	groupXIX	11064511	rnf141	11064511	11067764	11067764
ENSGACG00000009718	ENSGACT00000012841	groupXI	7357226	FAM117A (2 of 2)	7357226	7363743	7363743
ENSGACG00000009719	ENSGACT00000012843	groupXVIII	9403887	ttc32	9403887	9405307	9405307
ENSGACG00000009720	ENSGACT00000012851	groupVI	11869784	ikzf5	11869784	11872016	11872221
ENSGACG00000009720	ENSGACT00000012857	groupVI	11869784	ikzf5	11870376	11872221	11872221
ENSGACG00000009721	ENSGACT00000012845	groupI	9577561	six4.3	9577561	9581956	9581956
ENSGACG00000009722	ENSGACT00000012860	groupXI	7365361	RUNDC3A (2 of 2)	7365361	7377833	7377833
ENSGACG00000009723	ENSGACT00000012875	groupXVIII	9406189	ZP2 (1 of 4)	9406189	9410677	9410677
ENSGACG00000009723	ENSGACT00000012883	groupXVIII	9406189	ZP2 (1 of 4)	9406337	9410674	9410677
ENSGACG00000009724	ENSGACT00000012858	groupV	11525268	arsg	11525268	11530030	11530030
ENSGACG00000009724	ENSGACT00000012861	groupV	11525268	arsg	11525281	11529313	11530030
ENSGACG00000009725	ENSGACT00000012848	groupX	14956123		14956123	14957031	14957031
ENSGACG00000009726	ENSGACT00000012854	groupI	9584960	six9	9584960	9586865	9586865
ENSGACG00000009727	ENSGACT00000012850	groupXII	12103970	phlda3	12103970	12104374	12104374
ENSGACG00000009728	ENSGACT00000012853	groupX	14982274		14982274	14983437	14983437
ENSGACG00000009729	ENSGACT00000012879	groupXIX	11070181	ampd3b	11070181	11081611	11081611
ENSGACG00000009729	ENSGACT00000012881	groupXIX	11070181	ampd3b	11070714	11080207	11081611
ENSGACG00000009730	ENSGACT00000012865	groupXII	12109940	tnni1a	12109940	12111834	12111834
ENSGACG00000009731	ENSGACT00000012867	groupX	14983618	mhc1zea	14983618	14987400	14987412
ENSGACG00000009731	ENSGACT00000012870	groupX	14983618	mhc1zea	14984300	14987412	14987412
ENSGACG00000009732	ENSGACT00000012863	groupI	9587470	qpctla	9587470	9590691	9590691
ENSGACG00000009733	ENSGACT00000012864	groupXIII	9474478	dnajb5	9474478	9479229	9479229
ENSGACG00000009734	ENSGACT00000012859	groupVI	11873578	CUZD1	11873578	11875041	11875041
ENSGACG00000009735	ENSGACT00000012868	groupVI	11875690		11875690	11878346	11878346
ENSGACG00000009736	ENSGACT00000012862	groupXI	7371683		7371683	7373138	7373138
ENSGACG00000009737	ENSGACT00000012873	groupV	11530314	WIPI1 (2 of 2)	11530314	11534646	11534646
ENSGACG00000009738	ENSGACT00000012908	groupXI	7378336	rnf113a	7378336	7380908	7380908
ENSGACG00000009741	ENSGACT00000012887	groupI	9591849	rrm1 (1 of 2)	9591849	9595578	9595660
ENSGACG00000009741	ENSGACT00000012896	groupI	9591849	rrm1 (1 of 2)	9591852	9595660	9595660
ENSGACG00000009742	ENSGACT00000012890	groupVI	11880472	agt	11880472	11883962	11883962
ENSGACG00000009743	ENSGACT00000012876	groupXII	12117810	lad1	12117810	12119713	12119713
ENSGACG00000009743	ENSGACT00000012878	groupXII	12117810	lad1	12118191	12119713	12119713
ENSGACG00000009744	ENSGACT00000012874	groupX	14993071		14993071	14994658	14994658
ENSGACG00000009745	ENSGACT00000012884	groupV	11535858	prkar1ab	11535858	11541122	11541122
ENSGACG00000009746	ENSGACT00000012886	groupX	14996770	TNXB (2 of 2)	14996770	15014430	15014430
ENSGACG00000009747	ENSGACT00000012885	groupXII	12120260	tnnt2a	12120260	12127679	12127679
ENSGACG00000009748	ENSGACT00000012898	groupXIX	11097999	swap70b	11097999	11110921	11111043
ENSGACG00000009748	ENSGACT00000012905	groupXIX	11097999	swap70b	11098549	11111043	11111043
ENSGACG00000009749	ENSGACT00000012888	groupXIII	9502167	LIX1	9502167	9505254	9505254
ENSGACG00000009750	ENSGACT00000012900	groupXVIII	9413472	ZP2 (2 of 4)	9413472	9424777	9425239
ENSGACG00000009750	ENSGACT00000012919	groupXVIII	9413472	ZP2 (2 of 4)	9420637	9425239	9425239
ENSGACG00000009752	ENSGACT00000012893	groupXII	12129960	pkp1a	12129960	12134321	12134321
ENSGACG00000009753	ENSGACT00000012895	groupX	15025766	ATF6B	15025766	15029454	15029454
